ym,yr,mth,pro,cap,pro_avg,cap_avg
2003-12-01,2003,12,368940,383481,368940,383481
2004-01-01,2004,1,358355,372767,317659,325489
2004-02-01,2004,2,304185,307328,317659,325489
2004-03-01,2004,3,309490,305107,317659,325489
2004-04-01,2004,4,372471,378719,317659,325489
2004-05-01,2004,5,293471,294375,317659,325489
2004-06-01,2004,6,310562,321081,317659,325489
2004-07-01,2004,7,310562,321081,317659,325489
2004-08-01,2004,8,310562,321081,317659,325489
2004-09-01,2004,9,310562,321081,317659,325489
2004-10-01,2004,10,310562,321081,317659,325489
2004-11-01,2004,11,310562,321081,317659,325489
2004-12-01,2004,12,310562,321081,317659,325489
2005-01-01,2005,1,374729,383955,318474,322816
2005-02-01,2005,2,295218,300067,318474,322816
2005-03-01,2005,3,309337,305511,318474,322816
2005-04-01,2005,4,323037,330088,318474,322816
2005-05-01,2005,5,323037,330088,318474,322816
2005-06-01,2005,6,323037,330088,318474,322816
2005-07-01,2005,7,323037,330088,318474,322816
2005-08-01,2005,8,306992,309120,318474,322816
2005-09-01,2005,9,304763,309120,318474,322816
2005-10-01,2005,10,358179,360779,318474,322816
2005-11-01,2005,11,267816,272829,318474,322816
2005-12-01,2005,12,312500,312054,318474,322816
2006-01-01,2006,1,376178,387037,324112,334369
2006-01-01,2006,1,376178,387037,324112,334369
2006-01-01,2006,1,376178,387037,324112,334369
2006-01-01,2006,1,376178,387037,324112,334369
2006-02-01,2006,2,296878,302102,324112,334369
2006-03-01,2006,3,308053,308938,324112,334369
2006-04-01,2006,4,304763,309120,324112,334369
2006-05-01,2006,5,304763,309120,324112,334369
2006-06-01,2006,6,304763,309120,324112,334369
2006-07-01,2006,7,304763,309120,324112,334369
2006-08-01,2006,8,304763,309120,324112,334369
2006-09-01,2006,9,304763,309120,324112,334369
2006-10-01,2006,10,325518,342683,324112,334369
2006-11-01,2006,11,308514,328006,324112,334369
2006-12-01,2006,12,289420,330936,324112,334369
2007-01-01,2007,1,325043,330114,314972,334435
2007-02-01,2007,2,325043,330114,314972,334435
2007-03-01,2007,3,318485,337567,314972,334435
2007-04-01,2007,4,309569,332412,314972,334435
2007-05-01,2007,5,305069,338972,314972,334435
2007-06-01,2007,6,298138,313284,314972,334435
2007-07-01,2007,7,329265,348027,314972,334435
2007-08-01,2007,8,327277,347959,314972,334435
2007-09-01,2007,9,310444,333693,314972,334435
2007-10-01,2007,10,310444,333693,314972,334435
2007-11-01,2007,11,310444,333693,314972,334435
2007-12-01,2007,12,310444,333693,314972,334435
2008-01-01,2008,1,343682,377084,320730,356292
2008-02-01,2008,2,324912,352267,320730,356292
2008-03-01,2008,3,329942,360222,320730,356292
2008-04-01,2008,4,323083,360511,320730,356292
2008-05-01,2008,5,306643,363117,320730,356292
2008-06-01,2008,6,272801,306754,320730,356292
2008-07-01,2008,7,318971,344348,320730,356292
2008-08-01,2008,8,338693,372880,320730,356292
2008-09-01,2008,9,330398,363942,320730,356292
2008-10-01,2008,10,328855,368595,320730,356292
2008-11-01,2008,11,315389,352891,320730,356292
2008-12-01,2008,12,315389,352891,320730,356292
2009-01-01,2009,1,315389,352891,305402,354527
2009-02-01,2009,2,315389,352891,305402,354527
2009-03-01,2009,3,315389,352891,305402,354527
2009-04-01,2009,4,315389,352891,305402,354527
2009-05-01,2009,5,315389,352891,305402,354527
2009-06-01,2009,6,315389,352891,305402,354527
2009-07-01,2009,7,315389,352891,305402,354527
2009-08-01,2009,8,315389,352891,305402,354527
2009-09-01,2009,9,315389,352891,305402,354527
2009-10-01,2009,10,305056,360436,305402,354527
2009-11-01,2009,11,260581,359424,305402,354527
2009-12-01,2009,12,260683,358439,305402,354527
2010-01-01,2010,1,284072,336846,294370,324950
2010-02-01,2010,2,251930,285372,294370,324950
2010-03-01,2010,3,305775,316223,294370,324950
2010-04-01,2010,4,284375,360030,294370,324950
2010-05-01,2010,5,310554,323980,294370,324950
2010-06-01,2010,6,304923,318390,294370,324950
2010-07-01,2010,7,318958,333808,294370,324950
