SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-14-2017,Single Family Residential,4641 Doreen Ave,El Monte,CA,91731,494500,3,1.5,619 - El Monte,1088,5239,1954,166,455,,Sold,,,http://www.redfin.com/CA/El-Monte/4641-Doreen-Ave-91731/home/8002325,i-Tech MLS,316010885,N,Y,34.0901023,-118.0400608
PAST SALE,February-28-2013,Single Family Residential,12060 Hallwood Dr,El Monte,CA,91732,488000,3,2.0,619 - El Monte,1700,12262,1938,1613,287,,Sold,,,http://www.redfin.com/CA/El-Monte/12060-Hallwood-Dr-91732/home/7985352,CRMLS,BB12145555,N,Y,34.0901054,-118.003196
PAST SALE,December-9-2016,Townhouse,3602 Maxson Rd Unit L,El Monte,CA,91732,315000,2,2.0,619 - El Monte,1015,905,1980,233,310,150,Sold,,,http://www.redfin.com/CA/El-Monte/3602-Maxson-Rd-91732/unit-L/home/7986942,i-Tech MLS,316010171,N,Y,34.0685182,-118.0108939
PAST SALE,December-30-2016,Single Family Residential,12129 Wanda St,El Monte,CA,91732,432000,3,2.5,619 - El Monte,1552,3146,2002,212,278,80,Sold,,,http://www.redfin.com/CA/El-Monte/12129-Wanda-St-91732/home/8120063,i-Tech MLS,316010975,N,Y,34.0667206,-118.0137024
PAST SALE,March-28-2014,Single Family Residential,12023 LOWER AZUSA Rd,El Monte,CA,91732,520000,3,2.0,619 - El Monte,2221,13427,1957,1220,234,,Sold,,,http://www.redfin.com/CA/El-Monte/12023-Lower-Azusa-Rd-91732/home/7985422,CRMLS,BB14025417,N,Y,34.0879,-118.0055562
PAST SALE,April-27-2017,Single Family Residential,11713 Killian St,El Monte,CA,91732,455200,3,1.5,619 - El Monte,1160,7275,1965,94,392,,Sold,,,http://www.redfin.com/CA/El-Monte/11713-Killian-St-91732/home/7985722,i-Tech MLS,317002638,N,Y,34.0846353,-118.013544
PAST SALE,March-6-2012,Single Family Residential,3614 WINDSONG St,El Monte,CA,91732,275000,3,2.5,619 - El Monte,1433,1983,1988,1972,192,210,Sold,,,http://www.redfin.com/CA/El-Monte/3614-Windsong-St-91732/home/7987819,i-Tech MLS,22160072,N,Y,34.0673843,-118.0066408
PAST SALE,,Single Family Residential,4222 Kerman Ave,El Monte,CA,91731,140500,3,2.0,,1245,6724,1961,,113,,,,,http://www.redfin.com/CA/El-Monte/4222-Kerman-Ave-91731/home/7998651,,,N,Y,34.0833476,-118.0297636
PAST SALE,,Single Family Residential,10434 Schmidt Rd,South El Monte,CA,91733,175000,3,3.0,,1924,19096,1938,,91,,,,,http://www.redfin.com/CA/South-El-Monte/10434-Schmidt-Rd-91733/home/7794825,,,N,Y,34.0569599,-118.043547
PAST SALE,,Single Family Residential,10112 Maroon St,El Monte,CA,91733,115000,3,2.0,,1104,6102,1956,,104,,,,,http://www.redfin.com/CA/El-Monte/10112-Maroon-St-91733/home/7795100,,,N,Y,34.0602018,-118.0482477
PAST SALE,,Single Family Residential,2439 Central Ave,South El Monte,CA,91733,193000,2,2.0,,1733,10385,1930,,111,,,,,http://www.redfin.com/CA/South-El-Monte/2439-Central-Ave-91733/home/7795004,,,N,Y,34.0571467,-118.0473769
PAST SALE,,Single Family Residential,10334 Giovane St,El Monte,CA,91733,137272,2,1.0,,874,6008,1950,,157,,,,,http://www.redfin.com/CA/El-Monte/10334-Giovane-St-91733/home/7794675,,,N,Y,34.0614798,-118.0456873
PAST SALE,September-15-2011,Single Family Residential,10345 Giovane St,El Monte,CA,91733,355000,3,2.0,619 - El Monte,1502,5000,1976,2145,236,,Sold,,,http://www.redfin.com/CA/El-Monte/10345-Giovane-St-91733/home/7794712,CRMLS,W11059191,N,Y,34.0619011,-118.0453447
PAST SALE,July-10-2015,Single Family Residential,10429 Asher St,El Monte,CA,91733,360000,3,1.0,619 - El Monte,1145,5964,1944,751,314,,Sold,,,http://www.redfin.com/CA/El-Monte/10429-Asher-St-91733/home/8004259,CRMLS,WS15105253,N,Y,34.0683109,-118.0440902
PAST SALE,December-2-2010,Single Family Residential,10420 Asher St,El Monte,CA,91733,353000,3,1.75,619 - El Monte,1318,8848,1944,2432,268,,Sold,,,http://www.redfin.com/CA/El-Monte/10420-Asher-St-91733/home/8004312,CRMLS,W10102756,N,Y,34.0679239,-118.0443567
PAST SALE,November-18-2015,Single Family Residential,10511 Mildred St,El Monte,CA,91733,434000,3,1.0,619 - El Monte,1336,8434,1941,620,325,,Sold,,,http://www.redfin.com/CA/El-Monte/10511-Mildred-St-91733/home/8004323,i-Tech MLS,315009350,N,Y,34.0673021,-118.0432692
PAST SALE,June-26-2015,Single Family Residential,3137 Mayfair Ave,El Monte,CA,91733,380000,3,2.0,619 - El Monte,1113,4452,1953,765,341,,Sold,,,http://www.redfin.com/CA/El-Monte/3137-Mayfair-Ave-91733/home/8004407,CRMLS,WS15093328,N,Y,34.0652518,-118.0463674
PAST SALE,,Single Family Residential,3213 Granada Ave,El Monte,CA,91731,131000,2,2.0,,1910,5751,1948,,69,,,,,http://www.redfin.com/CA/El-Monte/3213-Granada-Ave-91731/home/8004508,,,N,Y,34.0673801,-118.0411908
PAST SALE,,Single Family Residential,3240 Granada Ave,El Monte,CA,91731,158000,2,1.0,,880,4607,1959,,180,,,,,http://www.redfin.com/CA/El-Monte/3240-Granada-Ave-91731/home/8004527,,,N,Y,34.0680047,-118.0404827
PAST SALE,,Single Family Residential,3129 Gage Ave,El Monte,CA,91731,161000,3,2.0,,1704,5855,1948,,94,,,,,http://www.redfin.com/CA/El-Monte/3129-Gage-Ave-91731/home/8004540,,,N,Y,34.0652697,-118.0402636
PAST SALE,January-31-2014,Single Family Residential,3145 Gage Ave,El Monte,CA,91731,410000,3,1.5,619 - El Monte,1243,5919,1948,1276,330,,Sold,,,http://www.redfin.com/CA/El-Monte/3145-Gage-Ave-91731/home/8004543,CRMLS,CV13205577,N,Y,34.065678,-118.0402268
PAST SALE,,Single Family Residential,3155 Gage Ave,El Monte,CA,91731,170000,3,2.0,,1307,5718,1941,,130,,,,,http://www.redfin.com/CA/El-Monte/3155-Gage-Ave-91731/home/8004545,,,N,Y,34.065956,-118.040244
PAST SALE,,Single Family Residential,3165 Gage Ave,El Monte,CA,91731,138000,3,2.0,,1802,6351,1941,,77,,,,,http://www.redfin.com/CA/El-Monte/3165-Gage-Ave-91731/home/8004548,,,N,Y,34.0663386,-118.0401865
PAST SALE,,Single Family Residential,3146 Granada Ave,El Monte,CA,91731,152000,3,2.0,,1295,5099,1948,,117,,,,,http://www.redfin.com/CA/El-Monte/3146-Granada-Ave-91731/home/8004559,,,N,Y,34.0658358,-118.0406874
PAST SALE,,Single Family Residential,3145 Lexington Ave,El Monte,CA,91731,246000,3,1.0,,1384,5608,1947,,178,,,,,http://www.redfin.com/CA/El-Monte/3145-Lexington-Ave-91731/home/8004610,,,N,Y,34.0657487,-118.0392607
PAST SALE,,Single Family Residential,3157 Lexington Ave,El Monte,CA,91731,130000,2,1.0,,806,6161,1941,,161,,,,,http://www.redfin.com/CA/El-Monte/3157-Lexington-Ave-91731/home/8004613,,,N,Y,34.0661592,-118.0392246
PAST SALE,,Single Family Residential,3166 Gage Ave,El Monte,CA,91731,139500,3,1.0,,1340,5060,1948,,104,,,,,http://www.redfin.com/CA/El-Monte/3166-Gage-Ave-91731/home/8004618,,,N,Y,34.0662751,-118.0396629
PAST SALE,,Single Family Residential,3156 Gage Ave,El Monte,CA,91731,150000,2,1.0,,1251,5850,1948,,120,,,,,http://www.redfin.com/CA/El-Monte/3156-Gage-Ave-91731/home/8004620,,,N,Y,34.0659804,-118.0396867
PAST SALE,,Single Family Residential,3227 Washington Ave,El Monte,CA,91731,180000,3,2.0,,1672,8448,1976,,108,,,,,http://www.redfin.com/CA/El-Monte/3227-Washington-Ave-91731/home/8004633,,,N,Y,34.0674099,-118.0383162
