"","user","rec 1","rec 2","rec 3","rec 4","rec 5","rec 6","rec 7","rec 8","rec 9","rec 10"
"1","1","flogging.molly","coldplay","aerosmith","the.beatles","moby","mando.diao","ac.dc","bob.marley...the.wailers","korpiklaani","oasis"
"2","33","peter.fox","gentleman","red.hot.chili.peppers","kings.of.leon","flyleaf","oasis","beatsteaks","the.killers","jason.mraz","babyshambles"
"3","42","oomph.","lacuna.coil","rammstein","schandmaul","sonata.arctica","subway.to.sally","apocalyptica","marilyn.manson","pink","linkin.park"
"4","51","the.subways","the.kooks","the.hives","franz.ferdinand","jack.johnson","bloc.party","foo.fighters","amy.winehouse","the.white.stripes","deichkind"
"5","62","mando.diao","the.fratellis","jack.johnson","incubus","peter.fox","oasis","the.wombats","foo.fighters","the.offspring","timbaland"
"6","75","hoobastank","papa.roach","the.prodigy","sum.41","good.charlotte","blink.182","hans.zimmer","groove.coverage","three.days.grace","afi"
"7","130","alanis.morissette","the.smashing.pumpkins","pearl.jam","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air"
"8","141","hatebreed","caliban","machine.head","sonic.syndicate","killswitch.engage","godsmack","seether","bring.me.the.horizon","rob.zombie","staind"
"9","144","editors","nada.surf","the.strokes","the.decemberists","death.cab.for.cutie","bloc.party","the.shins","aphex.twin","the.doors","johnny.cash"
"10","150","placebo","the.subways","eric.clapton","the.streets","bob.dylan","marilyn.manson","oomph.","system.of.a.down","the.white.stripes","gentleman"
"11","205","in.extremo","finntroll","nelly.furtado","apocalyptica","nightwish","marilyn.manson","ac.dc","hammerfall","system.of.a.down","christina.aguilera"
"12","247","alicia.keys","kanye.west","eminem","queens.of.the.stone.age","incubus","beatsteaks","the.streets","the.ting.tings","amy.winehouse","audioslave"
"13","256","the.pussycat.dolls","nelly.furtado","faithless","scooter","britney.spears","leona.lewis","kanye.west","timbaland","alicia.keys","cascada"
"14","299","as.i.lay.dying","hatebreed","in.flames","atreyu","bullet.for.my.valentine","disturbed","underoath","rob.zombie","opeth","papa.roach"
"15","313","eels","daft.punk","justice","radiohead","jose.gonzalez","modest.mouse","depeche.mode","beirut","digitalism","jimi.hendrix"
"16","319","franz.ferdinand","the.kooks","cypress.hill","the.chemical.brothers","gorillaz","the.white.stripes","razorlight","jay.z","gentleman","digitalism"
"17","336","misfits","green.day","hoobastank","limp.bizkit","the.clash","stone.sour","breaking.benjamin","linkin.park","three.days.grace","lostprophets"
"18","367","three.days.grace","slipknot","silverstein","breaking.benjamin","blink.182","seether","green.day","fall.out.boy","hatebreed","trivium"
"19","371","elvis.presley","tom.waits","judas.priest","black.sabbath","iron.maiden","bob.marley","slayer","the.clash","pearl.jam","the.beatles"
"20","383","groove.coverage","jay.z","leona.lewis","lenny.kravitz","the.pussycat.dolls","lady.gaga","deichkind","pink","peter.fox","madonna"
"21","422","the.hives","editors","adam.green","oasis","the.fratellis","babyshambles","the.kooks","the.fray","the.strokes","nada.surf"
"22","428","the.white.stripes","farin.urlaub","aerosmith","genesis","the.offspring","jack.johnson","guano.apes","tenacious.d","guns.n.roses","peter.fox"
"23","438","belle.and.sebastian","stars","beck","david.bowie","kings.of.convenience","modest.mouse","the.smiths","aphex.twin","mgmt","the.postal.service"
"24","447","a.perfect.circle","dream.theater","mogwai","children.of.bodom","the.smashing.pumpkins","cat.power","amon.amarth","opeth","aphex.twin","finntroll"
"25","458","the.fratellis","mando.diao","incubus","the.killers","kate.nash","razorlight","the.hives","death.cab.for.cutie","babyshambles","jack.johnson"
"26","472","hoobastank","bullet.for.my.valentine","groove.coverage","limp.bizkit","him","system.of.a.down","oomph.","rob.zombie","papa.roach","three.days.grace"
"27","477","clueso","editors","stars","modest.mouse","the.national","the.postal.service","elliott.smith","justice","bright.eyes","arctic.monkeys"
